,seed_mof_name,seed_mof_string,seed_edge_selfies,seed_edge_smiles,seed_targets,dreamed_mof_name,dreamed_mof_string,dreamed_edge_selfies,dreamed_edge_smiles,dreamed_targets
218,lvt_N618_edge215668,[N][C][=Branch][=C][C][=C][C][Branch][C][Ring1][Ring2][pop][=C][C][FrH0][pop][FrH0][.][ClH0][Rh][Branch1][C][ClH0][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][lvt],[N][C][=Branch][=C][C][=C][C][Branch][C][Ring1][Ring2][pop][=C][C][FrH0][pop][FrH0],NC([Fr])=CC1=CC(=CC[Fr])C1,"[-2.5410795, -0.008987249]",lvt_N618_NC([Fr])=CC1=CC(=CC[Fr])C1,[N][=P][Branch][FrH0][P][:1alkyne][:0amide][:0benzenediol][:0methyl][:0benzenediol][:0propyl][FrH0][FrH0][Cl][:0propyl][Branch][:0methyl][:0methyl][:1methyl_amine][:1methyl_amine][:0benzenediol][Ring2][Ring2][Ring2][Ring2][Cl][FrH0][Cl][:0benzenediol][:0benzenealcohol][:2pyrimidine][:2pyrimidine][:2pyrimidine][:2pyrimidine][:2pyrimidine][:2pyrimidine][:2pyrimidine][Branch][S][.][ClH0][Rh][Branch1][C][ClH0][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][C][=C][Ring1][#Branch1][&&][lvt],[N][=P][Branch][FrH0][P][:1alkyne][:0amide][:0benzenediol][:0methyl][:0benzenediol][:0propyl][FrH0][FrH0][Cl][:0propyl][Branch][:0methyl][:0methyl][:1methyl_amine][:1methyl_amine][:0benzenediol][Ring2][Ring2][Ring2][Ring2][Cl][FrH0][Cl][:0benzenediol][:0benzenealcohol][:2pyrimidine][:2pyrimidine][:2pyrimidine][:2pyrimidine][:2pyrimidine][:2pyrimidine][:2pyrimidine][Branch][S],CCc1c(Cl)c(O[Fr])c2c(Oc3c(O)cccc3-c3cncnc3-c3cncnc3-c3cncnc3S)c1CNN=[PH]([Fr])PC#Cc1c(O)cccc1O2,"[86.8489074117, 21.164541555702602]"
1147,lon_N461_edge145028,[Cl][C][Branch][O][FrH0][pop][C][=C][C][Branch][C][FrH0][pop][Branch][:0methyl][pop][O][:0methyl][.][O][=C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Ring1][=N][&&][lon],[Cl][C][Branch][O][FrH0][pop][C][=C][C][Branch][C][FrH0][pop][Branch][:0methyl][pop][O][:0methyl],CCOC(C=CC(Cl)O[Fr])(CC)C[Fr],"[-4.4000273, 0.38069758]",lon_N461_CCOC(C=CC(Cl)O[Fr])(CC)C[Fr],[:0methyl][C][:0pyrimidine][Ring1][FrH0][pop][Ring1][:0benzenediol][Ring1][:0benzenediol][Ring1][:0pyrimidine][Ring1][:0benzenediol][Ring1][N][:0pyrimidine][Ring1][:4benzenealcohol][Ring1][FrH0][pop][Ring1][:0nitrile][pop][Ring1][:5benzenediol][=Branch][O][pop][pop][pop][pop][pop][pop][pop][pop][pop][.][O][=C][Branch1][C][Fr][O][Cd][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][O][C][Branch1][C][Fr][O][Ring1][=N][&&][lon],[:0methyl][C][:0pyrimidine][Ring1][FrH0][pop][Ring1][:0benzenediol][Ring1][:0benzenediol][Ring1][:0pyrimidine][Ring1][:0benzenediol][Ring1][N][:0pyrimidine][Ring1][:4benzenealcohol][Ring1][FrH0][pop][Ring1][:0nitrile][pop][Ring1][:5benzenediol][=Branch][O][pop][pop][pop][pop][pop][pop][pop][pop][pop],CCc1ncc(-c2c(O)cccc2Oc2c(O)cccc2Oc2nccc(-c3c(O)cccc3ONc3nccc(-c4ccc(Oc5cc(O)cc(O)c5)c(C#N)c4O[Fr])n3)n2)c([Fr])n1,"[83.4677037239, 18.231502098301508]"
1673,qtz_N34_edge7204,[:0sulfonic_acid][Ring1][C][=N][C][=Branch][:=1methyl_amine][Ring1][=C][Branch][C][=N][N][N][Branch][N][Ring1][Branch][pop][FrH0][pop][Ring1][=Branch][pop][pop][FrH0][pop][.][O][=C][Branch1][C][Fr][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][&&][qtz],[:0sulfonic_acid][Ring1][C][=N][C][=Branch][:=1methyl_amine][Ring1][=C][Branch][C][=N][N][N][Branch][N][Ring1][Branch][pop][FrH0][pop][Ring1][=Branch][pop][pop][FrH0][pop],O=S(O)c1nc([Fr])cnc1C1=NNN([Fr])N1,"[-3.8741622, 0.17946711]",qtz_N34_O=S(O)c1nc([Fr])cnc1C1=NNN([Fr])N1,[=Ring2][=Ring2][FrH0][FrH0][pop][:0propyl][:1pyrimidine][:0benzenediol][:0benzenediol][=Ring2][:1pyrimidine][:1imidazole][:2benzenediol][:2pyridine][SH2][SH2][SH2][:4benzenealcohol][:0propyl][:2benzenediol][:0propyl][:2benzenediol][:4benzenealcohol][:1pyridine][:1pyridine][:=1methyl_amine][:=1methyl_amine][=Ring2][:1pyrimidine][:1pyrimidine][=O][O][=O][:=1methyl_amine][:=1methyl_amine][=O][.][O][=C][Branch1][C][Fr][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][&&][qtz],[=Ring2][=Ring2][FrH0][FrH0][pop][:0propyl][:1pyrimidine][:0benzenediol][:0benzenediol][=Ring2][:1pyrimidine][:1imidazole][:2benzenediol][:2pyridine][SH2][SH2][SH2][:4benzenealcohol][:0propyl][:2benzenediol][:0propyl][:2benzenediol][:4benzenealcohol][:1pyridine][:1pyridine][:=1methyl_amine][:=1methyl_amine][=Ring2][:1pyrimidine][:1pyrimidine][=O][O][=O][:=1methyl_amine][:=1methyl_amine][=O],[Fr][Fr],"[82.7217292828, 19.877413136999387]"
448,unc_N681_edge53816,[O][O][C][N][Branch][C][Branch][C][Branch][N][Branch][N][Branch][O][O][pop][Ring1][=Branch][pop][FrH0][pop][Branch][O][O][pop][O][O][pop][O][O][pop][FrH0][.][Fr][C][C][=C][N][Ag][Ag][Branch2][Ring2][=Branch1][Ag][Ring1][Ring1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#Branch1][Branch1][#Branch1][N][Ring1][N][C][=Ring1][S][N][N][Ring1][=N][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Ag][Ring2][Ring1][Ring2][Branch1][#C][N][C][=C][Branch1][C][Fr][C][=C][N][Ring1][#Branch1][Ring2][Ring1][O][Branch1][#C][N][N][Ring2][Ring1][N][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#Branch1][&&][unc],[O][O][C][N][Branch][C][Branch][C][Branch][N][Branch][N][Branch][O][O][pop][Ring1][=Branch][pop][FrH0][pop][Branch][O][O][pop][O][O][pop][O][O][pop][FrH0],OOC1N([Fr])C(OO)C(OO)(OO)N([Fr])N1OO,"[-9.5612545, 0.9469316]",unc_N681_OOC1N([Fr])C(OO)C(OO)(OO)N([Fr])N1OO,[:0propyl][Cl][:2benzenediol][Ring1][:0benzenediol][pop][Ring1][:0imidazole][Branch][:1methyl_amine][:0propyl][:0benzenediol][#Branch][:0methyl][pop][Branch][FrH0][pop][pop][pop][=N][:0benzenediol][Branch][FrH0][pop][pop][pop][:0pyrimidine][:=1methyl_amine][:=1methyl_amine][:0pyrimidine][:0pyrimidine][:0pyrimidine][:2pyrimidine][S][S][S][S][Branch][.][Fr][C][C][=C][N][Ag][Ag][Branch2][Ring2][=Branch1][Ag][Ring1][Ring1][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#Branch1][Branch1][#Branch1][N][Ring1][N][C][=Ring1][S][N][N][Ring1][=N][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][Ag][Ring2][Ring1][Ring2][Branch1][#C][N][C][=C][Branch1][C][Fr][C][=C][N][Ring1][#Branch1][Ring2][Ring1][O][Branch1][#C][N][N][Ring2][Ring1][N][C][=C][Branch1][C][Fr][C][=C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][N][Ring1][#Branch1][&&][unc],[:0propyl][Cl][:2benzenediol][Ring1][:0benzenediol][pop][Ring1][:0imidazole][Branch][:1methyl_amine][:0propyl][:0benzenediol][#Branch][:0methyl][pop][Branch][FrH0][pop][pop][pop][=N][:0benzenediol][Branch][FrH0][pop][pop][pop][:0pyrimidine][:=1methyl_amine][:=1methyl_amine][:0pyrimidine][:0pyrimidine][:0pyrimidine][:2pyrimidine][S][S][S][S][Branch],CCCc1c(O)cc(OCNc2nccc(-c3nccc(SSSS)n3)n2)c(-c2nc(CNc3c(OCC)ccc([Fr])c3O)cn2-c2c(O)cc([Fr])cc2O)c1-c1c(O)cccc1O,"[86.6072775169, 31.492989104838223]"
998,rho_N34_edge96586,[O][O][C][Branch][:1imidazole][Ring1][FrH0][pop][pop][=N][FrH0][.][O][=C][Branch1][C][Fr][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][&&][rho],[O][O][C][Branch][:1imidazole][Ring1][FrH0][pop][pop][=N][FrH0],OOC(=N[Fr])n1cncc1[Fr],"[-6.060213, 0.52843946]",rho_N34_OOC(=N[Fr])n1cncc1[Fr],[:0benzenediol][#Branch][:0benzenediol][Ring1][FrH0][pop][Ring2][:3pyrimidine][Ring1][:3pyrimidine][Ring1][:2imidazole][Ring1][:2imidazole][Ring1][:3pyrimidine][pop][pop][pop][pop][pop][pop][Ring1][:1methyl_amine][Ring1][S][FrH0][pop][pop][.][O][=C][Branch1][C][Fr][O][Co][Branch1][#Branch1][O][C][Branch1][C][Fr][=O][Branch1][#C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][N][N][C][Branch1][C][C][C][Branch1][C][Fr][=C][Ring1][#Branch1][C][&&][rho],[:0benzenediol][#Branch][:0benzenediol][Ring1][FrH0][pop][Ring2][:3pyrimidine][Ring1][:3pyrimidine][Ring1][:2imidazole][Ring1][:2imidazole][Ring1][:3pyrimidine][pop][pop][pop][pop][pop][pop][Ring1][:1methyl_amine][Ring1][S][FrH0][pop][pop],Oc1cccc(Oc2c(O)cc(-c3ccnc(-c4ccnc(-c5[nH]cnc5-c5[nH]cnc5-c5ccncn5)n4)n3)cc2O[Fr])c1CNS[Fr],"[81.701223497, 25.089195822236093]"
982,nbo_N595_edge64524,[O][C][C][N][Branch][N][Branch][C][Branch][C][Branch][FrH0][pop][Branch][O][pop][Ring1][=Branch][pop][Branch][O][pop][O][pop][O][pop][FrH0][.][Fr][C][O][Co][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][Branch1][Ring2][O][Ring1][#C][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][P][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][&&][nbo],[O][C][C][N][Branch][N][Branch][C][Branch][C][Branch][FrH0][pop][Branch][O][pop][Ring1][=Branch][pop][Branch][O][pop][O][pop][O][pop][FrH0],OC1CN([Fr])N(O)C(O)(O)C1(O)[Fr],"[-11.304061, 1.1276388]",nbo_N595_OC1CN([Fr])N(O)C(O)(O)C1(O)[Fr],[FrH0][:3benzenealcohol][#C][N][N][:5benzenediol][S][:0imidazole][:0sulfonic_acid][:1methyl_amine][:1amide][:0propyl][:0propyl][:0propyl][:2pyrimidine][FrH0][:3pyrimidine][:1sulfonic_acid][:2benzenediol][:0benzenediol][:0benzenediol][:2imidazole][:1pyrimidine][Ring2][:2benzenediol][Ring2][:2pyrimidine][:0sulfonic_acid][:1benzenediol][:=1methyl_amine][:=1methyl_amine][:1pyridine][:1pyrimidine][:1pyrimidine][:2imidazole][.][Fr][C][O][Co][Branch1][O][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][Co][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][N][Branch1][Ring2][O][Ring1][#C][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][P][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][Branch1][N][C][N][Branch1][C][Fr][C][=C][Ring1][=Branch1][&&][nbo],[FrH0][:3benzenealcohol][#C][N][N][:5benzenediol][S][:0imidazole][:0sulfonic_acid][:1methyl_amine][:1amide][:0propyl][:0propyl][:0propyl][:2pyrimidine][FrH0][:3pyrimidine][:1sulfonic_acid][:2benzenediol][:0benzenediol][:0benzenediol][:2imidazole][:1pyrimidine][Ring2][:2benzenediol][Ring2][:2pyrimidine][:0sulfonic_acid][:1benzenediol][:=1methyl_amine][:=1methyl_amine][:1pyridine][:1pyrimidine][:1pyrimidine][:2imidazole],CCCNCn1c(-c2ccc(O)cc2ONNc2cc(O)cc([Fr])c2)nc(S(=O)Oc2c(O)cccc2Oc2cnc(O[SH](=O)=CNc3cnccc3-c3ccncn3)[nH]2)c1[Fr],"[86.9040986555, 25.348395308347413]"
776,unc_N437_edge106162,[:0carboxylic_acid][Ring1][C][Branch][O][FrH0][pop][Branch][:0methyl_amine][Ring1][C][=C][FrH0][pop][pop][O][pop][.][O][=C][Branch1][C][Fr][O][Ag][Branch1][#C][N][C][=C][Branch1][C][Fr][C][C][Branch1][C][Fr][=C][Ring1][Branch2][N][C][N][Branch1][C][Fr][N][=C][Ring1][=Branch1][&&][unc],[:0carboxylic_acid][Ring1][C][Branch][O][FrH0][pop][Branch][:0methyl_amine][Ring1][C][=C][FrH0][pop][pop][O][pop],O=C(O)C(O)(NCC=C[Fr])O[Fr],"[-1.9636261, 0.118468285]",unc_N437_O=C(O)C(O)(NCC=C[Fr])O[Fr],[->][C][:1pyrimidine][:0benzene][:0benzenediol][#Branch][FrH0][pop][Branch][FrH0][Ring1][P][P][:0amide][pop][pop][=S][=S][=S][S][pop][pop][pop][pop][:0propyl][pop][:3pyrimidine][:1imidazole][:0benzenediol][:0benzenediol][:0propyl][:0propyl][:0propyl][:2pyridine][:1methyl_amine][Branch][Branch][.][O][=C][Branch1][C][Fr][O][Ag][Branch1][#C][N][C][=C][Branch1][C][Fr][C][C][Branch1][C][Fr][=C][Ring1][Branch2][N][C][N][Branch1][C][Fr][N][=C][Ring1][=Branch1][&&][unc],[->][C][:1pyrimidine][:0benzene][:0benzenediol][#Branch][FrH0][pop][Branch][FrH0][Ring1][P][P][:0amide][pop][pop][=S][=S][=S][S][pop][pop][pop][pop][:0propyl][pop][:3pyrimidine][:1imidazole][:0benzenediol][:0benzenediol][:0propyl][:0propyl][:0propyl][:2pyridine][:1methyl_amine][Branch][Branch],Cc1ncnc([SH]=[SH]S)c1-c1c(O[Fr])cc(PPNC=O)c([Fr])c1O,"[76.1051387185, 19.91477721417368]"
1580,lvt_N283_edge57957,[FrH0][C][C][C][C][Branch][N][Branch][FrH0][pop][N][Branch][:1alkyne][pop][Ring1][#Branch][pop][:1alkyne][.][O][C][Branch1][C][Fr][O][Cu][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][lvt],[FrH0][C][C][C][C][Branch][N][Branch][FrH0][pop][N][Branch][:1alkyne][pop][Ring1][#Branch][pop][:1alkyne],C#CC1CCC([Fr])N(C#C)N1[Fr],"[-12.054581, 1.3261958]",lvt_N283_C#CC1CCC([Fr])N(C#C)N1[Fr],[:0propyl][C][:1benzenediol][=Branch][:3pyrimidine][pop][Ring1][FrH0][pop][Branch][:0benzenediol][Branch][C][:0benzenediol][Ring1][FrH0][pop][Ring1][:0pyrimidine][Ring1][:5benzenealcohol][pop][pop][pop][pop][Ring1][Cl][pop][pop][.][O][C][Branch1][C][Fr][O][Cu][Cu][Branch1][#Branch1][O][C][Branch1][C][Fr][O][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][Branch1][#Branch2][O][C][Branch1][C][Fr][O][Ring2][Ring1][C][O][C][Branch1][C][Fr][O][Ring2][Ring1][=Branch1][&&][lvt],[:0propyl][C][:1benzenediol][=Branch][:3pyrimidine][pop][Ring1][FrH0][pop][Branch][:0benzenediol][Branch][C][:0benzenediol][Ring1][FrH0][pop][Ring1][:0pyrimidine][Ring1][:5benzenealcohol][pop][pop][pop][pop][Ring1][Cl][pop][pop],CCCOc1cc(-c2c(O)cc(Cc3c(O)ccc(-c4nccc(Oc5ccccc5)n4)c3O[Fr])cc2O)c(Cl)c(Oc2ccncn2)c1[Fr],"[85.473004478, 19.616352624111194]"
782,ths_N515_edge125763,[O][C][=C][C][Branch][C][=Branch][=C][Branch][C][C][Branch][FrH0][pop][Branch][O][pop][O][pop][Ring1][Branch][pop][O][pop][FrH0][.][Fr][C][O][Ni][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][Ring2][O][Ring1][Branch2][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][ths],[O][C][=C][C][Branch][C][=Branch][=C][Branch][C][C][Branch][FrH0][pop][Branch][O][pop][O][pop][Ring1][Branch][pop][O][pop][FrH0],OC1=CC([Fr])C(O)=C1CC(O)(O)[Fr],"[-6.6293583, 0.5403858]",ths_N515_OC1=CC([Fr])C(O)=C1CC(O)(O)[Fr],[:0methyl_amine][S][S][Branch][S][:0propyl][Branch][Branch][S][pop][C][Branch][FrH0][:0benzenediol][:0propyl][:1imidazole][:1imidazole][pop][=P][Branch][FrH0][pop][:2pyridine][pop][:2benzenediol][.][Fr][C][O][Ni][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][Branch1][Branch1][Ring2][O][Ring1][Branch2][Branch1][N][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][N][C][=C][C][Branch1][C][Fr][=C][C][Ring1][#Branch1][&&][ths],[:0methyl_amine][S][S][Branch][S][:0propyl][Branch][Branch][S][pop][C][Branch][FrH0][:0benzenediol][:0propyl][:1imidazole][:1imidazole][pop][=P][Branch][FrH0][pop][:2pyridine][pop][:2benzenediol],CCCSS(S)(CN)C([Fr])c1c(O)cccc1On1cnc([Fr])c1,"[79.9709949268, 27.9627604959304]"
366,rho_N164_edge34930,[N][C][N][N][Branch][N][Branch][C][Branch][FrH0][pop][Branch][N][pop][Ring1][Branch][pop][N][pop][FrH0][.][Fr][C][O][In][Branch1][Ring2][O][Ring1][Ring2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][rho],[N][C][N][N][Branch][N][Branch][C][Branch][FrH0][pop][Branch][N][pop][Ring1][Branch][pop][N][pop][FrH0],NC1NN([Fr])N(N)C1(N)[Fr],"[-10.713417, 1.2342621]",rho_N164_NC1NN([Fr])N(N)C1(N)[Fr],[:0phosphoric_acid][:1methyl_amine][FrH0][N][:0sulfonic_acid][S][pop][N][Branch][:0benzenediol][:0benzenediol][:0benzenediol][Branch][FrH0][:3pyrimidine][:3pyrimidine][:0benzenediol][:4benzenealcohol][pop][:0benzenediol][Ring2][:1pyrimidine][Ring2][:0benzenediol][:0benzenediol][:0benzenediol][:3pyrimidine][:3pyrimidine][:3pyrimidine][:0benzenediol][:3pyrimidine][:2imidazole][:1carboxylic_acid][.][Fr][C][O][In][Branch1][Ring2][O][Ring1][Ring2][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][=Branch1][Branch1][=Branch2][O][C][Branch1][C][Fr][O][Ring1][#Branch2][O][C][Branch1][C][Fr][O][Ring1][=C][&&][rho],[:0phosphoric_acid][:1methyl_amine][FrH0][N][:0sulfonic_acid][S][pop][N][Branch][:0benzenediol][:0benzenediol][:0benzenediol][Branch][FrH0][:3pyrimidine][:3pyrimidine][:0benzenediol][:4benzenealcohol][pop][:0benzenediol][Ring2][:1pyrimidine][Ring2][:0benzenediol][:0benzenediol][:0benzenediol][:3pyrimidine][:3pyrimidine][:3pyrimidine][:0benzenediol][:3pyrimidine][:2imidazole][:1carboxylic_acid],O=[SH]OOP(=O)(O[Fr])Oc1c(O)cccc1Oc1c(O)cc([Fr])c2c1Oc1nc(-c3ccccc3O)nc-2c1-c1c(O)cccc1Oc1ccnc(-c2ccnc(-c3ccnc(C(=O)O)n3)n2)n1,"[83.8724772338, 20.423157462431003]"
